MeanScore,RCR,LogRCR
3,1.482295267,0.170934722
3.666666667,6.86278921,0.83650066
4,6.534582969,0.815217877
3.333333333,2.081891712,0.318458136
2.666666667,3.399066494,0.531359661
1.666666667,0.240683259,-0.618554117
2.75,2.190667819,0.340576528
3.333333333,1.306948994,0.116258639
4,2.006044958,0.302340662
3,2.631728111,0.420241019
2.666666667,3.196706341,0.504702743
2.666666667,3.724411948,0.571057711
1.333333333,1.618746924,0.209178956
2.333333333,0.982636236,-0.007607225
2,1.911749251,0.281430929
3.666666667,2.836004376,0.452706897
2.666666667,1.184322648,0.073470034
2.666666667,1.832164504,0.262964465
2.666666667,3.100237781,0.491395004
2.666666667,1.019294522,0.00829969
3,0.23863545,-0.62226504
1.333333333,0.672149418,-0.172534173
4,6.538108838,0.815452146
2,2.769229106,0.442358888
1,0.62747809,-0.202401434
1.666666667,1.73856228,0.240190253
2.333333333,2.499527812,0.397857973
2.666666667,2.440612169,0.387498772
1,1.546908601,0.189464654
1.5,2.377855902,0.376185533
3,0.265020212,-0.576721003
2.666666667,0.429527921,-0.3670086
1,1.327990454,0.123194953
3,7.498834798,0.874993786
2.333333333,0.893538872,-0.048886549
2.666666667,3.062919144,0.486135532
2.666666667,1.467473255,0.166570195
1.333333333,2.937671052,0.468003164
2.333333333,9.035921325,0.955972441
3,7.891066816,0.897135721
1,0.880311807,-0.055363473
1.666666667,8.815426253,0.945243317
1.666666667,2.308375385,0.363306435
