Category Avg CPY,TR Ratio,FCR,RCR
3.384633333,2.560592482,8.113228388,1.249125952
3.877366667,0.773720996,8.460021739,0.416398281
4.315866667,0.772343909,13.95334112,0.291747911
3.699,1.35171668,9.172110092,0.645014136
4.634,0.719320961,6.627873484,0.575017584
5.4269,0.614224204,9.700386831,0.408613641
3.2142,2.281542323,6.547729858,1.278620811
4.4855,0.668821759,12.0490102,0.301137959
2.39915,0.555752385,4.578818182,0.315765046
3.413266667,1.660188676,7.50758444,0.875452502
3.347466667,1.991555803,6.4424096,1.179017723
2.047433333,0.162805464,5.570285714,0.066876189
8.966066667,0.520480924,12.41392054,0.455614047
4.028433333,1.985883677,8.697455128,1.082973249
4.028433333,0.992941838,10.04128637,0.475082359
3.111333333,0.321405614,6.893336449,0.166641934
3.283233333,1.319837152,8.196094955,0.618883646
3.0369,3.951397807,6.385886726,2.138657899
2.838033333,0.822165584,5.442746269,0.477521581
4.143533333,1.126252956,11.28883128,0.497611431
4.0723,0.818538254,8.9150525,0.441252135
3.882433333,1.802992968,5.562236057,1.406144813
3.803388889,0.613487971,10.11327273,0.275322721
2.785266667,0.718064099,2.161473684,0.84559393
3.710555556,2.605180416,9.475453799,1.2106275
5.789333333,2.706126209,10.97194874,1.715079383
3.877366667,1.461472993,9.271565826,0.723880095
4.4855,0.891762345,8.993649842,0.525303227
4.109266667,0.081117474,9.376888889,0.042145501
4.4855,0.59450823,8.906786458,0.35329874
5.137416667,3.76324028,11.45087619,2.034522363
3.7186,0.35855788,8.714082569,0.180183923
2.9613,4.727653395,9.211062857,1.799093403
3.120188889,0.854649113,4.762720779,0.611081341
4.4855,0.817448817,7.338694444,0.578057969
2.18415,0.152614671,3.3725,0.101142386
3.699,0.991258899,6.721264935,0.624785505
3.6811,0.996079071,8.19010992,0.524014931
4.4855,0.668821759,4.994606965,0.660499531
4.143533333,5.792158062,10.47271048,2.742520503
2.890766667,1.844954626,3.665004184,1.514967677
4.83335,1.034479191,7.115458738,0.810168402
3.676155556,2.720233094,6.623332123,1.726091732
4.4855,0.891762345,4.776827434,0.914350987
2.9613,2.701516226,6.303471092,1.442046276
4.769333333,6.429969248,9.807403452,3.721732218
2.545833333,0.392798691,3.995291667,0.264956749
2.927116667,1.480410187,6.307617537,0.780660086
3.982166667,0.3348261,10.1767395,0.156427195
3.774983333,0.353202442,8.067598897,0.193149218
8.966066667,0.371772089,10.97330453,0.364868898
3.347466667,2.688600335,4.818106498,2.042481749
4.4855,0.966075874,6.550478673,0.755270534
3.630466667,1.101786731,4.410502857,0.977224533
3.627833333,4.777874765,6.447054468,3.063512513
4.0723,0.572976778,11.55816757,0.243433985
3.604433333,1.942052842,8.198668948,0.999452821
8.966066667,0.520480924,14.61972614,0.390928215
4.143533333,2.896079031,6.064046068,2.237256642
4.057983333,1.560709548,7.759872774,0.94999713
2.350016667,0.425528897,1.223,0.608223418
5.4269,2.272629555,7.491353057,1.909074845
2.768283333,1.083704101,5.477157025,0.610652174
3.604433333,0.092478707,7.63407377,0.050735434
3.146516667,3.495929361,5.242886931,2.324214981
2.950633333,4.518803873,7.656399054,2.024132641
4.028433333,0.910196685,13.23764461,0.337149586
3.985633333,1.338139484,7.484906805,0.82617928
5.789333333,0.690925841,10.31449161,0.463525855
3.36865,0.395806431,3.53744898,0.389587747
2.774366667,0.841032788,5.432531579,0.478289803
8.966066667,0.817898595,10.73327915,0.819249695
4.028433333,1.572157911,12.76198776,0.602599436
4.0723,8.021674893,9.91683723,3.924407928
4.481816667,0.818120628,10.50444413,0.417832022
3.565,0.561009818,13.85283784,0.176239901
2.414583333,1.794650561,4.676747664,1.008269629
1.873166667,4.270842602,9.069799669,1.042595404
4.181433333,1.674067106,6.369658096,1.250329008
3.710555556,3.773019913,9.689210398,1.717985765
3.136566667,1.487826392,6.09234873,0.866531068
4.522413333,0.663362629,8.537924399,0.412967364
2.187733333,1.676011702,7.010533333,0.601987211
1.980033333,0.168347334,5.625166667,0.066315165
4.2789,1.012721338,5.18631348,0.924087028
2.626066667,2.030920769,7.552680851,0.819568105
3.9452,0.253472574,7.850089286,0.14845597
2.822566667,0.236191646,4.718446429,0.153970594
4.769333333,5.870841487,8.901977662,3.711453573
4.4855,1.783524691,6.425710262,1.418039028
4.028433333,1.82039337,10.01848636,0.872800316
4.181433333,0.159434962,5.222666667,0.141325436
3.136566667,0.531366569,6.39649505,0.296604956
2.667783333,3.37358731,4.473872549,2.172908094
4.4855,0.891762345,8.854741379,0.532770701
2.187733333,1.676011702,5.650908676,0.726607701
3.985633333,1.589040638,9.245606618,0.811109097
2.9613,0.787942233,9.525537931,0.290818873
3.7186,1.523870991,8.481815068,0.784706305
4.245683333,2.355333456,6.327939933,1.79646981
4.4855,0.222940586,14.23847414,0.085877685
4.4209,2.714379425,9.257452436,1.535048965
3.676155556,0.362697746,7.691068571,0.201598018
3.8181,1.309551871,8.145007874,0.718122304
3.064466667,0.652642113,15.78285417,0.155871517
3.680222222,0.905742407,9.829988764,0.403685946
3.630466667,0.734524487,5.614547529,0.531383873
3.630466667,0.367262244,6.690335766,0.228118454
2.215683333,0.451328033,8.864603448,0.133058385
4.83335,0.758618074,9.394071038,0.46282797
3.630466667,5.417118093,6.34885616,3.52288646
4.4855,0.520194701,9.422835821,0.293707522
3.604433333,1.572138015,7.527458689,0.873392065
3.877366667,0.171937999,13.13358182,0.061753935
2.187733333,0.1523647,6.97252,0.054989797
3.604433333,1.109744481,6.010657051,0.751499593
3.413266667,1.269556046,4.868840796,0.974793618
3.630466667,0.918155609,6.657442584,0.572772785
4.522413333,1.326725259,7.248658824,0.956342999
4.4855,1.337643518,11.7378057,0.61708715
