RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
-0.19869,-0.23341,-0.14693
0.058199,-0.18174,-0.01411
-0.12908,-0.11242,0.146151
-0.03558,-0.14769,-0.15843
-0.30337,0.280962,0.535952
-0.2561,0.194146,0.361997
0.032239,0.116318,-0.27733
0.26894,-0.0468,-0.5111
-0.33127,0.622588,0.323003
-0.23718,-0.13578,0.256637
0.549563,-0.45823,-0.42349
-0.22529,0.118248,0.375418
0.130658,-0.11215,-0.48243
0.038308,-0.05778,-0.22174
0.190654,0.049591,-0.40816
0.225842,-0.01483,-0.33702
0.076086,-0.07187,-0.17674
0.119365,-0.19831,0.344142
-0.308,0.089732,-0.1923
0.247367,-0.31068,-0.35119
-0.07724,0.178597,-0.10254
0.036477,-0.03585,-0.01316
-0.06134,-0.11385,0.143409
-0.05759,0.051417,-0.02154
-0.15891,-0.015,-0.0537
0.379965,-0.00189,-0.50213
-0.0232,0.092516,-0.56735
0.752703,-0.59314,-0.51732
-0.00318,-0.18284,0.179346
-0.09539,0.028887,0.090923
0.09445,0.118153,-0.06746
0.495794,-0.29785,-0.5803
-0.35856,0.247698,0.370593
-0.32791,0.107759,0.543132
0.080883,-0.09272,-0.27693
-0.10398,-0.0297,-0.11277
-0.14814,-0.07065,-0.16004
-0.23322,-0.13444,0.270456
0.22761,0.074088,-0.13779
-0.28553,0.155661,0.052225
0.181772,-0.49631,-0.11807
-0.21054,0.143918,0.309095
-0.08255,0.384028,-0.00678
0.000271,-0.04056,0.293549
-0.12107,-0.07283,-0.09331
-0.37824,0.025433,0.008535
-0.09276,0.213737,0.141898
0.065108,-0.05553,-0.61636
-0.31875,0.16474,0.325325
-0.29507,0.137049,0.39985
-0.214,0.024243,0.336964
-0.09741,-0.09185,-0.2445
0.002227,-0.15915,0.038133
-0.15418,0.04743,-0.1784
-0.20004,0.002431,-0.01414
-0.38738,0.10924,0.488736
-0.22885,0.295017,0.138514
0.21389,0.162047,-0.3961
0.031058,-0.26263,-0.09944
-0.2532,0.139778,0.000857
-0.26501,0.103267,-0.00964
0.040903,0.49158,-0.4392
-0.19879,-0.0284,0.240613
-0.03216,0.0429,0.065069
0.054787,-0.02445,-0.20434
0.195334,-0.35221,-0.26495
0.093002,-0.21141,-0.17775
0.364205,-0.16141,-0.36607
0.311237,-0.01165,-0.6555
0.284199,-0.21781,-0.38089
-0.13986,0.024762,0.270243
0.178326,-0.17945,-0.63356
0.202619,-0.07872,-0.06629
-0.15688,0.233022,0.181209
-0.24029,-0.12094,0.075117
-0.02546,0.171774,-0.59547
0.289471,-0.20027,-0.29049
0.229174,-0.04486,-0.32587
